30
12	167	321	26	76	49
57	80	173	39	49	7
19	3	70	26	81	76
34	228	317	49	71	2
72	224	392	54	45	69
46	8	209	69	53	71
85	169	286	79	37	33
15	98	233	23	25	90
63	115	348	96	95	44
23	195	297	75	37	48
16	246	341	33	13	7
23	201	305	72	91	97
8	136	287	15	98	51
44	263	398	79	75	40
23	260	462	98	57	56
50	223	331	55	75	99
22	133	321	74	86	35
58	218	406	81	50	33
7	149	254	78	78	48
22	259	346	53	2	15
5	108	239	91	32	58
69	231	349	78	68	60
41	215	365	76	75	18
45	169	346	38	3	86
37	187	406	80	12	36
82	120	282	31	90	61
88	226	355	16	6	88
27	122	273	78	58	84
9	48	136	31	64	15
53	105	253	93	55	2



# Generated with parameters N = 30, R = 10 and D = 5
