40
5	97	437	39	5
3	266	400	86	2
1	116	672	63	4
6	76	884	31	10
10	39	868	93	6
2	383	667	10	6
4	15	552	54	9
6	61	715	4	4
5	47	247	77	3
10	264	483	47	9
2	294	899	99	7
1	345	845	91	8
9	284	631	48	3
4	1	329	23	6
10	344	596	91	2
6	320	741	62	4
8	70	194	28	8
3	35	87	45	3
2	383	1057	58	6
7	180	343	87	7
8	5	502	41	6
3	38	356	20	6
5	79	797	47	5
6	327	729	97	5
4	238	1116	80	10
9	154	763	63	7
2	48	466	51	5
6	218	913	30	10
6	152	804	9	5
2	292	523	86	6
8	311	1085	11	9
6	128	461	79	9
7	68	484	51	9
1	155	544	6	8
1	185	614	84	4
10	40	526	91	1
7	93	564	36	9
3	2	103	58	6
7	147	299	88	7
8	386	858	6	7



# Generated with parameters N = 40, R = 10 and D = 20
